Designator,Val,Package,MidX,MidY,Rotation,Layer
AE1,AMCA31-2R450G-S1F-T3,ANT_AMCA31-2R450G-S1F-T3,136.433,-88.37,90,top
C1,1uF,C_0402_1005Metric,133.632,-94.6912,180,top
C2,1uF,C_0402_1005Metric,139.827,-98.933,90,top
C3,1uF,C_0402_1005Metric,132.588,-107.061,0,top
C4,0.1uF,C_0402_1005Metric,133.632,-95.7072,180,top
C5,0.1uF,C_0402_1005Metric,138.811,-98.933,90,top
C6,0.1uF,C_0402_1005Metric,132.588,-106.045,0,top
C7,2.7pF,C_0402_1005Metric,136.8272,-96.647,0,top
C8,2pF,C_0402_1005Metric,136.8552,-93.5736,0,top
C9,0.1uF,C_0402_1005Metric,128.524,-103.251,180,top
C10,1uF,C_0402_1005Metric,130.683,-96.139,90,top
C11,22uF,C_0603_1608Metric,158.496,-116.205,-90,top
C12,22uF,C_0603_1608Metric,156.845,-116.205,-90,top
C13,22uF_1206,C_1206_3216Metric,135.763,-111.125,90,top
C14,22uF_1206,C_1206_3216Metric,133.223,-111.125,90,top
C15,0.1uF,C_0402_1005Metric,137.541,-112.522,90,top
C16,0.1uF,C_0402_1005Metric,143.129,-111.379,0,top
C17,2.2uF,C_0603_1608Metric,155.448,-105.184,-90,top
C18,0.1uF,C_0402_1005Metric,154.178,-104.648,-90,top
C19,2.2uF,C_0603_1608Metric,155.956,-100.711,90,top
C20,2.2uF,C_0603_1608Metric,154.432,-100.711,90,top
C21,47uF,C_1206_3216Metric,152.4,-116.967,-90,top
C22,47uF,C_1206_3216Metric,154.813,-116.967,-90,top
C23,6.8nF,C_0402_1005Metric,139.7,-117.983,0,top
C24,4700pF,C_0402_1005Metric,147.701,-116.078,0,top
C25,39pF,C_0402_1005Metric,147.701,-117.221,0,top
C26,22uF_1206,C_1206_3216Metric,131.191,-117.729,-90,top
C27,22uF_1206,C_1206_3216Metric,136.017,-117.729,-90,top
C28,22uF_1206,C_1206_3216Metric,133.604,-117.729,-90,top
C29,0.1uF,C_0402_1005Metric,123.698,-99.06,90,top
D1,SS54,D_SMA,142.748,-108.966,180,top
D2,PSM712-LF-T7,SOT-23,122.301,-116.205,-90,top
J1,Conn_01x06,PinHeader_1x06_P2.54mm_Vertical,115.57,-94.488,90,top
J2,Conn_01x04,PinHeader_1x04_P2.54mm_Horizontal,164.154,-103.515,0,top
J3,PJ-037AH,CUI_PJ-037AH,122.0425,-109.347,180,top
L2,SLO0530H6R8MTT,SLO0530H6R8MTT,149.86,-110.998,0,top
LED1,NCD0805R1,LED_0805_2012Metric,156.0576,-94.8436,0,top
LED2,NCD0805R1,LED_0805_2012Metric,126.111,-97.536,180,top
Q1,2N7002,SOT-23,165.862,-98.806,0,top
Q2,2N7002,SOT-23,165.862,-94.107,0,top
Q3,MMBT3904,SOT-23,127.508,-100.965,0,top
Q4,AO3401A,SOT-23W,158.369,-112.014,0,top
Q5,MMBT3904,SOT-23,127.508,-105.537,0,top
Q6,2N7002,SOT-23,155.448,-108.458,0,top
R1,0,R_0402_1005Metric,118.745,-97.409,-90,top
R2,0,R_0402_1005Metric,119.888,-97.409,-90,top
R3,10k,R_0402_1005Metric,163.2735,-99.121,-90,top
R4,10k,R_0402_1005Metric,166.4485,-101.153,0,top
R5,10k,R_0402_1005Metric,131.699,-96.139,-90,top
R6,4.7k,R_0402_1005Metric,128.524,-107.823,0,top
R7,0,R_0402_1005Metric,136.3954,-95.123,-90,top
R8,10k,R_0402_1005Metric,163.322,-93.98,-90,top
R9,10k,R_0402_1005Metric,165.862,-96.393,0,top
R10,10k,R_0402_1005Metric,125.095,-104.902,-90,top
R11,4.7k,R_0402_1005Metric,155.829,-112.014,90,top
R12,10k,R_0402_1005Metric,124.968,-100.838,-90,top
R13,4.7k,R_0402_1005Metric,152.019,-107.442,180,top
R14,100k,R_0402_1005Metric,115.0575,-100.33,90,top
R15,330,R_0402_1005Metric,153.67,-94.7928,-90,top
R16,10k,R_0402_1005Metric,145.415,-119.507,180,top
R17,100k,R_0402_1005Metric,114.9305,-103.124,-90,top
R18,1.91k,R_0402_1005Metric,145.415,-118.491,0,top
R19,330,R_0402_1005Metric,128.524,-97.663,90,top
R20,49.9k,R_0402_1005Metric,147.701,-114.935,180,top
R21,1k,R_0402_1005Metric,124.206,-106.934,-90,top
R22,1k,R_0402_1005Metric,131.064,-109.728,-90,top
R23,0.006,R_2512_6332Metric,128.016,-113.411,0,top
REF**,LogoSmall,LogoSmall,137.9474,-90.7796,0,top
U1,ESP32-PICO-D4,QFN-48-1EP_7x7mm_P0.5mm_EP5.3x5.3mm_ThermalVias,134.112,-101.346,-90,top
U2,LM358DR2G,SOIC-8_3.9x4.9mm_P1.27mm,119.3755,-101.6,0,top
U3,MCP1826T-3302E_DC,SOT-223-6_TabPin3,148.971,-102.87,180,top
U4,TPS54331DR,SOIC-8_3.9x4.9mm_P1.27mm,142.494,-114.681,0,top
