"Source:","C:\Users\AaronN\Desktop\Personal\PersonalProjects\LightsProject\VersionC\LightsAuxiliary_Rev_C\LightsAuxiliary_Rev_C.kicad_sch"
"Date:","2/7/2022 12:26:49 AM"
"Tool:","Eeschema (6.0.0)"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/AaronsFavoriteBOMScript.py"
"Component Count:","70"
"Ref","Qnty","Value","Cmp name","Description","Manufacturer","Part Number"
"AE1, ","1","AMCA31-2R450G-S1F-T3","AMCA31-2R450G-S1F-T3","RF ANT 2.4GHZ CHIP SOLDER SMD","Abracon LLC","535-14095-1-ND"
"C1, C2, C3, C10, ","4","1uF","1uF","CAP CER 1UF 10V X5R 0402","Samsung Electro-Mechanics","1276-1076-1-ND"
"C4, C5, C6, C9, C15, C16, C18, C29, ","8","0.1uF","0.1uF","CAP CER 0.1UF 25V X5R 0402","Samsung Electro-Mechanics","1276-1043-1-ND"
"C11, C12, ","2","22uF","22uF","CAP CER 22UF 10V X5R 0603","Samsung Electro-Mechanics","1276-1274-1-ND"
"C13, C14, C26, C27, C28, ","5","22uF_1206","22uF_1206","CAP CER 22UF 25V X5R 1206","Samsung Electro-Mechanics","1276-3047-1-ND"
"C17, C19, C20, ","3","2.2uF","2.2uF","CAP CER 2.2UF 10V X5R 0603","Samsung Electro-Mechanics","1276-1085-1-ND"
"C21, C22, ","2","47uF","47uF","CAP CER 47UF 16V X5R 1206","Taiyo Yuden","587-5425-1-ND"
"C23, ","1","6.8nF","6.8nF","CAP CER 0402 6.8NF 50V X7R 10%","KEMET","399-C0402C682K5RECAUTOCT-ND"
"C24, ","1","4700pF","4700pF","CAP CER 4700PF 50V X7R 0402","YAGEO","311-1418-1-ND"
"C25, ","1","39pF","39pF","CAP CER 39PF 50V C0G/NP0 0402","Murata Electronics","490-5871-1-ND"
"D1, ","1","SS54","SS54","JLCPCB 40V 550mV@5A 5A SMA(DO-214AC) Schottky Barrier Diodes (SBD) ROHS","JLCPCB","C22452"
"D2, ","1","PSM712-LF-T7","PSM712-LF-T7","JLCPCB 19V 13.3V 12V Bi-Directional SOT-23(SOT-23-3) TVS ROHS","JLCPCB","C32677"
"J1, ","1","Conn_01x06","Conn_01x06","Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J2, ","1","Conn_01x04","Conn_01x04","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J3, ","1","PJ-037AH","PJ-037AH","DC Barrel Jack 2.1mm by 5.50mm R/A","CUI Devices","PJ-037AH"
"L1, ","1","LQG15HS2N7S02D","LQG15HS2N7S02D","FIXED IND 2.7NH 800MA 150MOHM SM","Murata Electronics","490-2615-1-ND"
"L2, ","1","SLO0530H6R8MTT","SLO0530H6R8MTT","JLCPCB 4A 6.8uH ±20% 66mΩ SMD Power Inductors ROHS","JLCPCB","C325965"
"LED1, LED2, ","2","NCD0805R1","NCD0805R1","JLCPCB LED RED DIFFUSED 0805 SMD","Foshan NationStar Optoelectronics","C84256"
"Q1, Q2, Q6, ","3","2N7002","2N7002","JLCPCB MOSFET N-CH 60V 115MA SOT-23","Changjiang Electronics Tech (CJ)","C8545"
"Q3, Q5, ","2","MMBT3904","MMBT3904","JLCPCB 0.2W 0.2A NPN 40V SOT-23(SOT-23-3) Bipolar Transistors - BJT ROHS","Changjiang Electronics Tech (CJ)","C20526"
"Q4, ","1","AO3401A","AO3401A","JLCPCB 1.4W 0.044Ω 4.3A,10V 30V 1.3V 250uA P Channel 4A SOT-23-3L MOSFETs ROHS","JLCPCB","C15127"
"R1, R2, R7, ","3","0","0","RES 0 OHM JUMPER 1/16W 0402","Stackpole Electronics Inc","RMCF0402ZT0R00CT-ND"
"R3, R4, R5, R8, R9, R10, R12, R16, ","8","10k","10k","RES 10K OHM 1% 1/16W 0402","Stackpole Electronics Inc","RMCF0402FT10K0CT-ND"
"R6, R11, R13, ","3","4.7k","4.7k","RES 4.7K OHM 1% 1/16W 0402","Stackpole Electronics Inc","RMCF0402FT4K70CT-ND"
"R14, R17, ","2","100k","100k","RES SMD 100 KOHM 1% 1/16W 0402","Delta Electronics/Cyntec","2037-PFR05S-104-FNHCT-ND"
"R15, R19, ","2","330","330","RES 330 OHM 1% 1/16W 0402","YAGEO","311-330LRCT-ND"
"R18, ","1","1.91k","1.91k","RES 1.91K OHM 1% 1/16W 0402","Stackpole Electronics Inc","RMCF0402FT1K91CT-ND"
"R20, ","1","49.9k","49.9k","RES 49.9K OHM 1% 1/16W 0402","Stackpole Electronics Inc","RMCF0402FT49K9CT-ND"
"R21, R22, ","2","1k","1k","RES 1K OHM 1% 1/16W 0402","Stackpole Electronics Inc","RMCF0402FT1K00CT-ND"
"R23, ","1","0.006","0.006","RES 0.006 OHM 1% 1W 2512","YAGEO","YAG2146CT-ND"
"U1, ","1","ESP32-PICO-D4","ESP32-PICO-D4","","Espressif Systems","1904-1029-1-ND"
"U2, ","1","LM358DR2G","LM358DR2G","JLCPCB 0.6 V/us 2 1MHz 3V ~ 32V, ±1.5V ~ 16V 1.5mA General Purpose SOIC-8_150mil Operational Amplifier ROHS","JLCPCB","C7950"
"U3, ","1","MCP1826T-3302E_DC","MCP1826T-3302E_DC","IC REG LINEAR 3.3V 1A SOT223-5","Microchip Technology","Ologic"
"U4, ","1","TPS54331DR","TPS54331DR","JLCPCB IC REG BUCK ADJUSTABLE 3A 8SOIC","Texas Instruments","296-26991-1-ND"
