Comment,Designator,Footprint,JLCPCB Part #（optional）
1uF,"C1, C2, C3, C10, C15, ",0402,C52923
0.1uF,"C4, C5, C6, C9, C12, C16, C18, ",0402,C1525
2.2uF,"C11, C13, C14, C17, C19, C20, ",0603,C23630
4.7uF,"C21, C22, C23, C24, ",0603,C19666
19-213/Y2C-CQ2R2L/3T(CY),"LED7, ",LED_0603,C72038
MMBT3904,"Q1, Q2, ",SOT-23-3,C20526
2N7002,"Q3, ",SOT-23-3,C8545
4.7k,"R1, R4, R6, R13, R14, R15, R16, ",0402,C25900
0,"R2, R3, R19, R20, R27, ",0402,C17168
10k,"R5, R11, R12, ",0402,C25744
330,"R7, R8, R9, R10, R22, R26, ",0402,C25104
5.1k,"R17, R18, ",0402,C25905
100k,"R21, ",0402,C25741
1.5k,"R23, R25, ",0402,C25867
1.2k,"R24, ",0402,C25862
ESP32-PICO-D4,"U1, ",QFN-48_EP_7.0x7.0x0.5P,C193707
CP2102-GMR,"U3, ",QFN-28_EP_5.0x5.0x0.5P,C6568
SRV05-4-P-T7,"U4, ",SOT-23-6L,C85364
TP4056-42-ESOP8,"U6, ",ESOP-8_EP_3.9x4.9x1.27P,C16581
