Designator,Val,Package,MidX,MidY,Rotation,Layer
AE1,AMCA31-2R450G-S1F-T3,ANT_AMCA31-2R450G-S1F-T3,133.985,-61.4035,90,top
C1,1uF,C_0402_1005Metric,131.318,-66.802,180,top
C2,1uF,C_0402_1005Metric,136.779,-69.215,0,top
C3,1uF,C_0402_1005Metric,136.779,-77.216,0,top
C4,0.1uF,C_0402_1005Metric,131.318,-67.818,180,top
C5,0.1uF,C_0402_1005Metric,136.779,-70.231,0,top
C6,0.1uF,C_0402_1005Metric,136.779,-76.2,0,top
C7,2.7pF,C_0402_1005Metric,134.401,-68.094,0,top
C8,2pF,C_0402_1005Metric,134.401,-65.046,0,top
C9,0.1uF,C_0402_1005Metric,168.91,-89.154,-90,top
C10,1uF,C_0402_1005Metric,169.037,-85.598,-90,top
C11,2.2uF,C_0603_1608Metric,162.052,-92.583,0,top
C12,0.1uF,C_0402_1005Metric,161.544,-93.98,0,top
C13,2.2uF,C_0603_1608Metric,139.7,-93.853,180,top
C14,2.2uF,C_0603_1608Metric,147.193,-93.853,0,top
C15,1uF,C_0402_1005Metric,148.209,-85.09,-90,top
C16,0.1uF,C_0402_1005Metric,147.193,-85.09,-90,top
C17,2.2uF,C_0603_1608Metric,131.826,-81.534,0,top
C18,0.1uF,C_0402_1005Metric,131.191,-82.804,0,top
C19,2.2uF,C_0603_1608Metric,127.762,-87.376,90,top
C20,2.2uF,C_0603_1608Metric,129.413,-87.376,90,top
C21,4.7uF,C_0603_1608Metric,134.147,-94.018,180,top
C22,4.7uF,C_0603_1608Metric,134.147,-95.669,180,top
C23,4.7uF,C_0603_1608Metric,122.047,-97.803,-90,top
C24,4.7uF,C_0603_1608Metric,123.698,-97.803,-90,top
CN1,530470510,530470510,166.116,-97.79,90,top
CN2,2137160001,2137160001,143.433876,-96.755407,0,top
J1,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,121.666,-80.02,0,top
LED1,NCD0805R1,LED_0805_2012Metric,167.132,-70.866,-90,top
LED2,NCD0805R1,LED_0805_2012Metric,160.782,-70.866,-90,top
LED3,NCD0805R1,LED_0805_2012Metric,154.432,-70.866,-90,top
LED4,NCD0805R1,LED_0805_2012Metric,148.082,-70.866,-90,top
LED5,NCD0805R1,LED_0805_2012Metric,112.268,-67.31,180,top
LED6,NCD0805R1,LED_0805_2012Metric,112.268,-77.597,180,top
LED7,Y2C-CQ2R2L,LED_0603_1608Metric,112.268,-72.4535,180,top
LED8,NCD0805R1,LED_0805_2012Metric,173.482,-70.866,-90,top
Q1,MMBT3904,SOT-23,165.227,-85.09,0,top
Q2,MMBT3904,SOT-23,165.227,-88.646,0,top
Q3,2N7002,SOT-23,119.888,-68.326,90,top
R1,4.7k,R_0402_1005Metric,111.76,-80.391,180,top
R2,0,R_0402_1005Metric,139.446,-81.407,90,top
R3,0,R_0402_1005Metric,138.303,-81.407,90,top
R4,4.7k,R_0402_1005Metric,171.577,-80.264,180,top
R5,10k,R_0402_1005Metric,167.9702,-84.5312,-90,top
R6,4.7k,R_0402_1005Metric,167.8178,-88.0364,-90,top
R7,330,R_0402_1005Metric,166.624,-67.818,0,top
R8,330,R_0402_1005Metric,160.274,-67.818,0,top
R9,330,R_0402_1005Metric,153.924,-67.818,0,top
R10,330,R_0402_1005Metric,147.574,-67.818,0,top
R11,10k,R_0402_1005Metric,162.687,-88.9,-90,top
R12,10k,R_0402_1005Metric,162.687,-85.217,-90,top
R13,4.7k,R_0402_1005Metric,151.892,-98.552,0,top
R14,4.7k,R_0402_1005Metric,151.892,-97.536,0,top
R15,4.7k,R_0402_1005Metric,151.892,-96.52,180,top
R16,4.7k,R_0402_1005Metric,151.892,-99.568,180,top
R17,5.1k,R_0402_1005Metric,141.986,-93.599,90,top
R18,5.1k,R_0402_1005Metric,149.479,-101.092,-90,top
R19,0,R_0402_1005Metric,143.764,-87.249,90,top
R20,0,R_0402_1005Metric,144.78,-87.249,90,top
R21,100k,R_0402_1005Metric,129.159,-89.535,180,top
R22,330,R_0402_1005Metric,116.332,-67.31,180,top
R23,1.5k,R_0402_1005Metric,116.332,-77.597,0,top
R24,1.2k,R_0402_1005Metric,136.306,-100.622,-90,top
R25,1.5k,R_0402_1005Metric,116.332,-72.517,0,top
R26,330,R_0402_1005Metric,172.974,-67.818,0,top
R27,0,R_0402_1005Metric,133.893,-66.57,-90,top
REF**,LogoSmall,LogoSmall,115.2652,-63.0936,0,top
SW1,FSM2JSMAA,SW_2-1437565-8,113.537721,-86.842295,90,top
SW2,FSM2JSMAA,SW_2-1437565-8,173.337728,-86.842295,90,top
U1,ESP32-PICO-D4,QFN-48-1EP_7x7mm_P0.5mm_EP5.3x5.3mm_ThermalVias,131.607,-73.555,-90,top
U2,CAP1114-1-EZK-TR,QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,158.369,-97.663,180,top
U3,CP2102-GMR,QFN28G_0.5-5X5MM,144.018,-82.296,90,top
U4,SRV05-4-P-T7,SOT-23-6,144.145,-90.424,0,top
U5,MCP1826T-3302E_DC,SOT-223-6_TabPin3,134.747,-86.995,0,top
U6,TP4056-42-ESOP8,HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.4x3.2mm,131.988,-99.225,180,top
